image,title,content,authors,date
https://forklog.com/wp-content/uploads/Sunday_Digest_1-min-768x614.png,"Итоги недели: биткоин пробил $20 000, а Илон Маск закрыл сделку по покупке Twitter","Котировки биткоина пробили уровень $20 000, Илон Маск закрыл сделку по покупке Twitter, команда Telegram запустила платформу Fragment для продажи имен пользователей и другие события уходящей недели.",,2022-10-30T00:00:00
https://forklog.com/wp-content/uploads/dogecoin-min-768x614.png,Чарльз Хоскинсон предложил перевести Dogecoin на блокчейн Cardano,"Основатель Cardano Чарльз Хоскинсон допустил, что после покупки Twitter Илоном Маском Dogecoin (DOGE) могут интегрировать с социальной платформой, и предложил перевести мем-криптовалюту в экосистему своего проекта.",,2022-10-30T00:00:00
https://forklog.com/wp-content/uploads/AI_Digest_1-768x614.png,"Meta потеряла $730 млрд стоимости, ученые создали «свитер-невидимку», и другие новости из мира ИИ",ForkLog AI собрал наиболее важные новости из мира ИИ за прошедшую неделю.,,2022-10-30T00:00:00
https://forklog.com/wp-content/uploads/buterin2-min-768x614.png,Виталик Бутерин раскритиковал ограничительное регулирование криптоиндустрии,"Регуляторные инициативы, строго ограничивающие функции криптовалютных проектов, могут упростить последним доступ к институциональному капиталу, но пагубно повлияют на развитие индустрии. Об этом заявил сооснователь Ethereum Виталик Бутерин.",,2022-10-30T00:00:00
https://forklog.com/wp-content/uploads/Venture_3-768x614.png,"Вестник институционала: Celestia привлек $55 млн, а Stardust — $30 млн","Криптовалютная индустрия привлекает все большее число институциональных игроков. Об этом говорят и новые инвестиции в инфраструктуру, и все более пристальное внимание, которое компании проявляют к биткоину как классу активов. Наиболее важные события последних недель — в обзоре ForkLog.",,2022-10-29T00:00:00
https://forklog.com/wp-content/uploads/dogecoin-min-768x614.png,"Dogecoin выросла на 80% за неделю и преодолела $0,1 впервые с мая","За последнюю неделю мем-криптовалюта Dogecoin (DOGE) выросла более чем на 80%, согласно CoinGecko. Актив преодолел уровень $0,1 впервые с мая 2022 года.",,2022-10-29T00:00:00
https://forklog.com/wp-content/uploads/Arthur_Hayes_2-min-768x614.png,Артур Хэйес допустил возвращение Китая в криптоиндустрию через Гонконг,Бывший CEO биткоин-биржи BitMEX Артур Хэйес рассказал о возможности возвращения Китая в индустрию цифровых активов с помощью Гонконга.,,2022-10-29T00:00:00
https://forklog.com/wp-content/uploads/BTC_generic_2022_a-min-768x614.png,Эксперт спрогнозировал рост капитализации рынка криптовалют до $300 трлн,Бывший топ-менеджер Goldman Sachs и макроинвестор Рауль Пал допустил рост общей капитализации рынка цифровых активов до $300 трлн в ближайшие 10–15 лет.,,2022-10-29T00:00:00
https://forklog.com/wp-content/uploads/Cybersec_Digest_2-768x614.png,"Утечка 3 ТБ данных из Thomson Reuters, двойные атаки на держателей крипты и другие события кибербезопасности",Мы собрали наиболее важные новости из мира кибербезопасности за неделю.,,2022-10-29T00:00:00
image,title,content,authors,date
